id_student,code_module,code_presentation,sum_click,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
6516,AAA,2014J,2791,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass
8462,DDD,2013J,646,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn
8462,DDD,2014J,10,M,London Region,HE Qualification,30-40%,55<=,1,60,N,Withdrawn
11391,AAA,2013J,934,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
23629,BBB,2013B,161,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail
23698,CCC,2014J,910,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
23798,BBB,2013J,590,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction
24186,GGG,2014B,184,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass
24213,DDD,2014B,1992,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass
24391,GGG,2013J,712,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction
24734,AAA,2014J,499,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
25107,BBB,2013B,2562,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
25150,EEE,2014B,2103,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass
25261,CCC,2014J,997,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn
25572,DDD,2014J,113,F,London Region,HE Qualification,10-20,0-35,2,150,N,Withdrawn
25629,BBB,2014B,16,F,Scotland,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn
25997,BBB,2014B,13,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn
26023,GGG,2013J,786,M,North Western Region,Lower Than A Level,10-20,35-55,0,30,N,Pass
26192,AAA,2014J,2223,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction
26211,FFF,2014B,15205,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass
26247,FFF,2013J,478,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail
26315,BBB,2014J,2451,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
26734,BBB,2014J,210,M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Fail
26915,EEE,2013J,61,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Fail
27116,CCC,2014J,1847,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction
27189,FFF,2014B,2638,F,South Region,Lower Than A Level,10-20,35-55,0,120,N,Fail
27417,DDD,2013J,410,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
27417,DDD,2014J,100,M,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn
27683,FFF,2014B,2129,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass
27759,BBB,2013J,366,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail
27780,EEE,2014B,553,M,Wales,A Level or Equivalent,10-20,0-35,0,150,N,Pass
27891,BBB,2013B,301,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn
27891,BBB,2014B,47,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail
27935,DDD,2013J,813,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail
28046,DDD,2013J,661,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,N,Fail
28061,AAA,2014J,1590,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
28400,AAA,2013J,1435,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
28418,CCC,2014B,328,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail
28787,CCC,2014J,645,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
28808,FFF,2014B,232,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail
28897,FFF,2014B,3367,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction
28952,CCC,2014J,105,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
29144,BBB,2013B,1914,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
29335,FFF,2013J,8840,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
29411,CCC,2014J,329,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn
29411,DDD,2013J,841,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
29420,CCC,2014J,816,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass
29639,CCC,2014J,6986,M,North Region,Lower Than A Level,?,0-35,0,30,N,Pass
29639,EEE,2014B,3517,M,North Region,Lower Than A Level,?,0-35,0,30,N,Pass
29764,CCC,2014B,2867,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction
29769,FFF,2013J,1608,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail
29820,CCC,2014B,1027,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass
29820,EEE,2014B,1475,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass
29985,GGG,2014B,760,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass
30091,BBB,2013J,1332,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass
30096,CCC,2014J,714,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction
30268,AAA,2013J,281,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
30531,FFF,2014B,1548,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail
30549,DDD,2013J,137,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,N,Fail
30850,CCC,2014J,2258,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Distinction
31014,BBB,2013J,531,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn
31107,GGG,2014B,3873,M,South West Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass
31161,CCC,2014J,2932,M,South Region,Post Graduate Qualification,90-100%,55<=,0,105,N,Distinction
31173,DDD,2013J,858,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail
31205,GGG,2014J,381,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,30,Y,Fail
31269,DDD,2013J,300,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Withdrawn
31269,DDD,2014B,559,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn
31296,FFF,2014J,1280,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail
31600,AAA,2014J,429,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
31604,AAA,2013J,2158,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
31663,BBB,2013B,5906,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
31849,BBB,2013J,1179,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass
32221,FFF,2013J,1133,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
32239,GGG,2013J,620,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass
32327,BBB,2014J,699,F,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn
32885,AAA,2013J,1034,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
32930,BBB,2014J,438,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
33387,DDD,2013J,248,M,Scotland,HE Qualification,10-20,0-35,1,120,N,Withdrawn
33600,FFF,2013J,481,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn
33666,BBB,2013B,1208,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn
33681,DDD,2013J,434,M,South East Region,A Level or Equivalent,50-60%,35-55,2,60,Y,Withdrawn
33681,DDD,2014J,30,M,South East Region,A Level or Equivalent,50-60%,35-55,3,60,Y,Fail
33796,DDD,2014J,351,M,East Anglian Region,Lower Than A Level,80-90%,35-55,2,60,N,Pass
33897,DDD,2013J,322,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
33915,FFF,2013B,4121,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
33930,DDD,2013J,544,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass
34068,CCC,2014J,613,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn
34087,DDD,2013J,294,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn
34087,DDD,2014J,131,M,South East Region,A Level or Equivalent,60-70%,35-55,1,60,Y,Fail
34229,BBB,2013B,706,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass
34293,FFF,2014B,921,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn
34353,BBB,2013B,391,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail
34431,BBB,2013B,192,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
